 num     #instances         #bytes  class name (module)
  86:          9754         234096  com.jetbrains.cidr.lang.symbols.OCQualifiedNameWithArguments
  87:          9646         231504  java.lang.invoke.ResolvedMethodName (java.base@11.0.15)
  88:         14363         229808  java.lang.Integer (java.base@11.0.15)
  89:          6791         217312  java.lang.invoke.DirectMethodHandle (java.base@11.0.15)
  90:          1586         216304  [Ljava.util.Hashtable$Entry; (java.base@11.0.15)
  91:           141         214912  [D (java.base@11.0.15)
  92:          4465         214320  com.intellij.openapi.extensions.impl.XmlExtensionAdapter$SimpleConstructorInjectionAdapter
  93:          8898         213552  groovyjarjarantlr4.v4.runtime.atn.SingletonPredictionContext
  94:          5170         206800  com.jetbrains.cidr.lang.symbols.expression.OCLiteralExpressionSymbol
  95:          3197         204608  com.esotericsoftware.kryo.serializers.UnsafeCacheFields$UnsafeObjectField
  96:          6336         202752  com.jetbrains.cidr.lang.types.OCCppReferenceType
  97:          5045         201800  com.intellij.util.containers.hash.LinkedHashMap$Entry
  98:          4151         199248  com.jetbrains.cidr.lang.util.OCNumber
  99:           119         198680  [[Lcom.intellij.util.lang.Loader;
 100:          6123         195936  com.intellij.codeInspection.ex.ToolsImpl
 101:          5965         190880  com.intellij.psi.impl.PsiCachedValueImpl
[...]
Total      31766717     1759870952
